expgender,exprace,separatedornot_nobarriers,separatedornot_other,separatedornot_separaterooms,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,anch1group,anch2group,anch3group,anch4group,anchoring1,anchoring2,anchoring3,anchoring4,Ranchori,RAN001,RAN002,RAN003,Ranch1,Ranch2,Ranch3,Ranch4,gambfalgroup,gambfalDV,scalesgroup,scalesreca,scalesrecb,scales,reciprocitygroup,reciprocityother,reciprocityus,allowedforbiddenGroup,allowedforbidden,quotearec,quotebrec,quoteGroup,quote,totalflagestimations,totalnoflagtimeestimations,flagfilter,flagdv,flagGroup,Sysjust,MoneyGroup,moneyfilter,ContactGroup,Imagineddv,IATfilter,partgender,IATexpart,IATexpmath,IATexp.overall,totexpmissed,IATEXPfilter,allowedforbiddena,allowedforbiddenb,anchoring1a,anchoring1b,anchoring2a,anchoring2b,anchoring3a,anchoring3b,anchoring4a,anchoring4b,artwarm,citizenship,d_donotuse,diseaseframinga,diseaseframingb,ethnicity_X1,ethnicity_X2,ethnicity_X3,flagsupplement1,flagsupplement2,flagsupplement3,flagtimeestimate1_Afternoon,flagtimeestimate1_Evening,flagtimeestimate1_Morning,flagtimeestimate2_Afternoon,flagtimeestimate2_Evening,flagtimeestimate2_Morning,flagtimeestimate3_Afternoon,flagtimeestimate3_Evening,flagtimeestimate3_Morning,flagtimeestimate4_Afternoon,flagtimeestimate4_Evening,flagtimeestimate4_Morning,gamblerfallacya,gamblerfallacyb,imaginedexplicit1,imaginedexplicit2,imaginedexplicit3,imaginedexplicit4,major,mathwarm,moneyagea,moneyageb,moneygendera,moneygenderb,nativelang,noflagtimeestimate1_Afternoon,noflagtimeestimate1_Evening,noflagtimeestimate1_Morning,noflagtimeestimate2_Afternoon,noflagtimeestimate2_Evening,noflagtimeestimate2_Morning,noflagtimeestimate3_Afternoon,noflagtimeestimate3_Evening,noflagtimeestimate3_Morning,noflagtimeestimate4_Afternoon,noflagtimeestimate4_Evening,noflagtimeestimate4_Morning,omdimc3,omdimc3rt,omdimc3trt,politicalid,quotea,quoteb,race,reciprocityothera,reciprocityotherb,reciprocityusa,reciprocityusb,scalesa,scalesb,sex,sunkcosta,sunkcostb,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,us_or_international,lab_or_online,order,iat_exclude
1,6,0,0,0,18,1,9,0,1,0,1,1,1,3000,900000,30000,10000,2163.5,1740.5,3586.5,2855.5,2163.5,1740.5,3586.5,2855.5,0,3.16227766,1,0,0,1,1,0,1,1,1,9,5,1,9,8,9,0,3.25,0,2.75,1,1,1,7,1,0,5.5,2.5,5.5,0,1,0,1,3000,4000,600000,900000,7000,30000,667,10000,72,94,0.360161458,0,0,0,0,0,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,3.16227766,9,4,6,9,10,0,21,18,1,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,32810,32832,1,1,5,4,1,1,1,1,2,1,0,9,8,1,4,3,4,4,4,1,1,0,1,2,0
1,6,0,0,0,19,1,9,0,0,0,0,1,0,3000,2000000,30000,5000,2163.5,2720.5,3586.5,2404.5,2163.5,2720.5,3586.5,2404.5,0,6,1,0,0,1,0,1,1,0,0,6,4,0,4,9,8,0,3.625,1,3.375,1,0,1,4,1,0,3.666666667,4.166666667,3.75,0,1,0,1,3000,4000,600000,3000000,7000,30000,5000,30000,61,18,0.581444848,0,1,0,0,1,6,7,4,0,0,1,0,1,0,1,0,0,0,1,0,2.236067977,6,5,5,1,5,13,55,21,21,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7859,7881,4,4,6,12,1,0,1,1,2,1,0,9,8,2,2,4,2,4,7,2,4,0,1,2,0
1,6,0,0,0,18,0,3,1,0,0,0,0,1,5000,400000,5000,25000,4676,917.5,1172.5,3892,4676,917.5,1172.5,3892,1,2.236067977,0,0,0,1,0,0,1,0,0,6,5,1,6,7,8,0,3.25,1,4.25,1,0,0,3.5,1,0,6,5.166666667,4.416666667,0,1,0,1,5000,4000,400000,3000000,5000,36825,667,25000,66,94,0.151839615,1,1,0,1,0,4,5,5,1,0,0,0,0,1,0,0,1,0,1,0,2.236067977,1.732050808,5,3,5,1,13,72,21,18,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18958,18968,5,4,5,14,1,1,1,1,1,1,0,9,3,3,4,3,4,5,7,4,4,0,1,2,0
1,6,0,0,0,18,1,6,0,1,1,0,0,0,3000,300000,2400,400,2163.5,566,164.5,1032,2163.5,566,164.5,1032,0,2,1,0,0,1,0,0,1,1,1,3,5,1,3,8,8,1,2.5,2,3.125,1,0,0,4.5,1,1,5,3.666666667,4.666666667,0,1,0,1,3000,3000,300000,3000000,2400,36825,400,30000,54,94,-0.744463327,0,0,0,1,0,8,4,4,0,0,0,0,1,0,1,0,0,0,1,0,2.236067977,2,4,2,5,7,2,40,21,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,24368,24377,4,7,5,14,1,1,1,1,2,1,1,6,8,5,2,3,4,3,1,3,4,0,1,1,0
1,6,0,0,0,18,1,9,1,0,0,1,0,0,1750,3500000,26246.4,156,212.5,4188.5,2804,395,212.5,4188.5,2804,395,1,3.464101615,1,0,0,1,0,0,0,0,0,7,5,1,7,8,7,0,4.75,0,4,0,1,0,1.5,1,1,4,3,4.5,0,1,0,1,1750,4000,600000,3500000,7000,36825,156,30000,33,94,-0.011533698,1,1,0,1,0,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3.464101615,1.732050808,3,1,1,1,7,0,18,21,0,1,2,0,0,1,1,0,0,0,0,1,0,1,0,0,4843,4865,7,3,5,14,1,1,1,0,2,1,1,9,8,5,2,3,7,5,3,5,2,0,1,1,0
1,6,0,0,0,18,0,9,0,1,0,0,0,0,3000,300000,10000,10000,2163.5,566,1780.5,2855.5,2163.5,566,1780.5,2855.5,0,2.236067977,0,0,0,1,1,0,1,0,0,2,5,1,2,8,6,0,2.625,0,4.75,0,0,0,4.75,0,0,5,6,3.5,0,0,0,1,3000,4000,300000,3000000,10000,36825,667,30000,54,94,0.004156012,0,0,0,1,0,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,2.236067977,3,2,5,9,7,66,18,21,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,11343,11364,4,8,5,12,1,1,1,1,3,1,0,9,9,5,5,6,6,3,6,4,3,0,1,1,1
1,6,1,0,0,18,0,9,1,1,1,0,1,0,3000,2000000,25000,300,2163.5,2720.5,2662.5,868.5,2163.5,2720.5,2662.5,868.5,1,3.16227766,1,0,1,0,1,0,1,0,0,5,5,1,5,8,8,0,3.25,1,4.5,1,0,1,4,1,0,5.333333333,2.666666667,5.333333333,0,1,0,1,3000,3000,600000,3000000,7000,25000,300,30000,65,94,0.845209463,0,1,0,1,0,11,4,4,0,0,1,1,0,0,1,0,0,0,1,0,3.16227766,1.732050808,5,5,5,1,7,18,21,18,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,34843,34852,4,5,5,12,1,1,1,1,2,4,0,9,9,3,3,4,4,5,5,5,7,0,1,2,0
1,6,0,0,0,19,0,7,0,1,0,1,1,1,2000,4900000,43300,1000,580,5219,5177.5,1656,580,5219,5177.5,1656,0,3.16227766,1,0,0,1,0,0,1,0,0,5,5,1,5,8,6,0,3.625,0,4.125,0,0,1,3,1,1,4.666666667,6,3.333333333,0,1,0,1,2000,4000,600000,4900000,7000,43300,667,1000,55,94,-0.034177471,0,0,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,3.16227766,5,1,3,3,6,76,19,21,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,0,3821,3841,4,5,5,4,1,1,1,1,2,1,1,9,7,6,4,3,4,2,5,3,6,0,1,1,0
1,6,1,0,0,21,0,9,0,0,0,0,0,0,3000,2000000,26246.4,10000,2163.5,2720.5,2804,2855.5,2163.5,2720.5,2804,2855.5,0,1.732050808,0,1,0,0,0,0,1,0,0,6,6,0,6,8,7,0,3,0,3.75,1,0,1,8,1,1,7,3.166666667,5.916666667,0,1,0,1,3000,4000,600000,3000000,7000,36825,667,30000,78,94,-0.558535739,0,1,0,1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1.732050808,9,8,8,7,10,100,21,21,1,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,7684,7704,4,4,4,2,1,1,1,1,6,1,1,9,9,1,1,1,6,7,7,1,6,0,1,1,0
1,6,0,0,0,21,1,9,0,0,0,0,1,1,3000,250000,45000,35000,2163.5,287,5417.5,4662.5,2163.5,287,5417.5,4662.5,0,2.236067977,0,1,0,0,1,0,1,1,1,6,9,0,9,8,8,0,2.5,1,1.75,1,1,1,2.75,1,0,6.833333333,3,5.916666667,0,1,0,1,3000,4000,250000,3000000,7000,45000,667,35000,100,94,1.041278589,0,1,0,1,0,1,3,4,0,0,1,0,1,0,0,0,1,0,1,0,2.236067977,2.236067977,3,1,5,2,10,25,21,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,24270,24292,3,4,1,14,1,1,1,1,6,1,0,9,8,1,1,1,1,3,1,1,5,0,1,2,0
