,expgender,separatedornot_nobarriers,separatedornot_other,separatedornot_separaterooms,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,anch1group,anch2group,anch3group,anch4group,anchoring1,anchoring2,anchoring3,anchoring4,Ranchori,RAN001,RAN002,RAN003,Ranch1,Ranch2,Ranch3,Ranch4,gambfalgroup,gambfalDV,scalesgroup,scalesreca,scalesrecb,scales,reciprocitygroup,reciprocityother,reciprocityus,allowedforbiddenGroup,allowedforbidden,quotearec,quotebrec,quoteGroup,quote,totalflagestimations,totalnoflagtimeestimations,flagfilter,flagdv,flagGroup,Sysjust,MoneyGroup,moneyfilter,ContactGroup,Imagineddv,IATfilter,partgender,IATexpart,IATexpmath,IATexp.overall,totexpmissed,IATEXPfilter,allowedforbiddena,allowedforbiddenb,anchoring1a,anchoring1b,anchoring2a,anchoring2b,anchoring3a,anchoring3b,anchoring4a,anchoring4b,artwarm,d_donotuse,diseaseframinga,diseaseframingb,ethnicity_X1,ethnicity_X2,ethnicity_X3,flagsupplement1,flagsupplement2,flagsupplement3,flagtimeestimate1_Afternoon,flagtimeestimate1_Evening,flagtimeestimate1_Morning,flagtimeestimate2_Afternoon,flagtimeestimate2_Evening,flagtimeestimate2_Morning,flagtimeestimate3_Afternoon,flagtimeestimate3_Evening,flagtimeestimate3_Morning,flagtimeestimate4_Afternoon,flagtimeestimate4_Evening,flagtimeestimate4_Morning,gamblerfallacya,gamblerfallacyb,imaginedexplicit1,imaginedexplicit2,imaginedexplicit3,imaginedexplicit4,major,mathwarm,moneyagea,moneyageb,moneygendera,moneygenderb,noflagtimeestimate1_Afternoon,noflagtimeestimate1_Evening,noflagtimeestimate1_Morning,noflagtimeestimate2_Afternoon,noflagtimeestimate2_Evening,noflagtimeestimate2_Morning,noflagtimeestimate3_Afternoon,noflagtimeestimate3_Evening,noflagtimeestimate3_Morning,noflagtimeestimate4_Afternoon,noflagtimeestimate4_Evening,noflagtimeestimate4_Morning,omdimc3,omdimc3rt,omdimc3trt,politicalid,quotea,quoteb,reciprocityothera,reciprocityotherb,reciprocityusa,reciprocityusb,scalesa,scalesb,sex,sunkcosta,sunkcostb,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,us_or_international,lab_or_online,order,iat_exclude
0,1.0,0,0,0,18.0,1,9.0,0,1.0,0,1,1,1,3000.0,900000.0,30000.0,10000.0,2163.5,1740.5,3586.5,2855.5,2163.5,1740.5,3586.5,2855.5,0,3.16227766,1,0.0,0.0,1.0,1,0.0,1.0,1,1.0,9.0,5.0,1,9.0,8.0,9.0,0,3.25,0,2.75,1,1,1,7.0,1,0.0,5.5,2.5,5.5,0,1,0.0,1.0,3000.0,4000.0,600000.0,900000.0,7000.0,30000.0,667.0,10000.0,72.0,0.360161458,0.0,0.0,0,0,0,11.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,3.16227766,9.0,4.0,6.0,9.0,10.0,0.0,21.0,18.0,1.0,1.0,0,0,1,0,1,0,1,0,0,0,1,0,1.0,32810.0,32832.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,9.0,8.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,0,1,2.0,0
1,1.0,0,0,0,19.0,1,9.0,0,0.0,0,0,1,0,3000.0,2000000.0,30000.0,5000.0,2163.5,2720.5,3586.5,2404.5,2163.5,2720.5,3586.5,2404.5,0,6.0,1,0.0,0.0,1.0,0,1.0,1.0,0,0.0,6.0,4.0,0,4.0,9.0,8.0,0,3.625,1,3.375,1,0,1,4.0,1,0.0,3.666666667,4.166666667,3.75,0,1,0.0,1.0,3000.0,4000.0,600000.0,3000000.0,7000.0,30000.0,5000.0,30000.0,61.0,0.581444848,0.0,1.0,0,0,1,6.0,7.0,4.0,0,0,1,0,1,0,1,0,0,0,1,0,2.236067977,6.0,5.0,5.0,1.0,5.0,13.0,55.0,21.0,21.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7859.0,7881.0,4.0,4.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,9.0,8.0,2.0,2.0,4.0,2.0,4.0,7.0,2.0,4.0,0,1,2.0,0
2,1.0,0,0,0,18.0,0,3.0,1,0.0,0,0,0,1,5000.0,400000.0,5000.0,25000.0,4676.0,917.5,1172.5,3892.0,4676.0,917.5,1172.5,3892.0,1,2.236067977,0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,6.0,5.0,1,6.0,7.0,8.0,0,3.25,1,4.25,1,0,0,3.5,1,0.0,6.0,5.166666667,4.416666667,0,1,0.0,1.0,5000.0,4000.0,400000.0,3000000.0,5000.0,36825.0,667.0,25000.0,66.0,0.151839615,1.0,1.0,0,1,0,4.0,5.0,5.0,1,0,0,0,0,1,0,0,1,0,1,0,2.236067977,1.732050808,5.0,3.0,5.0,1.0,13.0,72.0,21.0,18.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18958.0,18968.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,3.0,3.0,4.0,3.0,4.0,5.0,7.0,4.0,4.0,0,1,2.0,0
3,1.0,0,0,0,18.0,1,6.0,0,1.0,1,0,0,0,3000.0,300000.0,2400.0,400.0,2163.5,566.0,164.5,1032.0,2163.5,566.0,164.5,1032.0,0,2.0,1,0.0,0.0,1.0,0,0.0,1.0,1,1.0,3.0,5.0,1,3.0,8.0,8.0,1,2.5,2,3.125,1,0,0,4.5,1,1.0,5.0,3.666666667,4.666666667,0,1,0.0,1.0,3000.0,3000.0,300000.0,3000000.0,2400.0,36825.0,400.0,30000.0,54.0,-0.7444633270000001,0.0,0.0,0,1,0,8.0,4.0,4.0,0,0,0,0,1,0,1,0,0,0,1,0,2.236067977,2.0,4.0,2.0,5.0,7.0,2.0,40.0,21.0,18.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,24368.0,24377.0,4.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,8.0,5.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,0,1,1.0,0
4,1.0,0,0,0,18.0,1,9.0,1,0.0,0,1,0,0,1750.0,3500000.0,26246.4,156.0,212.5,4188.5,2804.0,395.0,212.5,4188.5,2804.0,395.0,1,3.464101615,1,0.0,0.0,1.0,0,0.0,0.0,0,0.0,7.0,5.0,1,7.0,8.0,7.0,0,4.75,0,4.0,0,1,0,1.5,1,1.0,4.0,3.0,4.5,0,1,0.0,1.0,1750.0,4000.0,600000.0,3500000.0,7000.0,36825.0,156.0,30000.0,33.0,-0.011533698,1.0,1.0,0,1,0,11.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,3.464101615,1.732050808,3.0,1.0,1.0,1.0,7.0,0.0,18.0,21.0,0.0,1.0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,4843.0,4865.0,7.0,3.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,9.0,8.0,5.0,2.0,3.0,7.0,5.0,3.0,5.0,2.0,0,1,1.0,0
5,1.0,0,0,0,18.0,0,9.0,0,1.0,0,0,0,0,3000.0,300000.0,10000.0,10000.0,2163.5,566.0,1780.5,2855.5,2163.5,566.0,1780.5,2855.5,0,2.236067977,0,0.0,0.0,1.0,1,0.0,1.0,0,0.0,2.0,5.0,1,2.0,8.0,6.0,0,2.625,0,4.75,0,0,0,4.75,0,0.0,5.0,6.0,3.5,0,0,0.0,1.0,3000.0,4000.0,300000.0,3000000.0,10000.0,36825.0,667.0,30000.0,54.0,0.004156012000000001,0.0,0.0,0,1,0,11.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,2.236067977,3.0,2.0,5.0,9.0,7.0,66.0,18.0,21.0,1.0,1.0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,11343.0,11364.0,4.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,9.0,9.0,5.0,5.0,6.0,6.0,3.0,6.0,4.0,3.0,0,1,1.0,1
6,1.0,1,0,0,18.0,0,9.0,1,1.0,1,0,1,0,3000.0,2000000.0,25000.0,300.0,2163.5,2720.5,2662.5,868.5,2163.5,2720.5,2662.5,868.5,1,3.16227766,1,0.0,1.0,0.0,1,0.0,1.0,0,0.0,5.0,5.0,1,5.0,8.0,8.0,0,3.25,1,4.5,1,0,1,4.0,1,0.0,5.333333333,2.666666667,5.333333333,0,1,0.0,1.0,3000.0,3000.0,600000.0,3000000.0,7000.0,25000.0,300.0,30000.0,65.0,0.845209463,0.0,1.0,0,1,0,11.0,4.0,4.0,0,0,1,1,0,0,1,0,0,0,1,0,3.16227766,1.732050808,5.0,5.0,5.0,1.0,7.0,18.0,21.0,18.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,34843.0,34852.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,9.0,9.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,7.0,0,1,2.0,0
7,1.0,0,0,0,19.0,0,7.0,0,1.0,0,1,1,1,2000.0,4900000.0,43300.0,1000.0,580.0,5219.0,5177.5,1656.0,580.0,5219.0,5177.5,1656.0,0,3.16227766,1,0.0,0.0,1.0,0,0.0,1.0,0,0.0,5.0,5.0,1,5.0,8.0,6.0,0,3.625,0,4.125,0,0,1,3.0,1,1.0,4.666666667,6.0,3.333333333,0,1,0.0,1.0,2000.0,4000.0,600000.0,4900000.0,7000.0,43300.0,667.0,1000.0,55.0,-0.034177471,0.0,0.0,0,0,0,7.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,3.16227766,5.0,1.0,3.0,3.0,6.0,76.0,19.0,21.0,0.0,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0.0,3821.0,3841.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,7.0,6.0,4.0,3.0,4.0,2.0,5.0,3.0,6.0,0,1,1.0,0
8,1.0,1,0,0,21.0,0,9.0,0,0.0,0,0,0,0,3000.0,2000000.0,26246.4,10000.0,2163.5,2720.5,2804.0,2855.5,2163.5,2720.5,2804.0,2855.5,0,1.732050808,0,1.0,0.0,0.0,0,0.0,1.0,0,0.0,6.0,6.0,0,6.0,8.0,7.0,0,3.0,0,3.75,1,0,1,8.0,1,1.0,7.0,3.166666667,5.916666667,0,1,0.0,1.0,3000.0,4000.0,600000.0,3000000.0,7000.0,36825.0,667.0,30000.0,78.0,-0.558535739,0.0,1.0,0,1,0,5.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1.732050808,9.0,8.0,8.0,7.0,10.0,100.0,21.0,21.0,1.0,0.0,0,0,1,1,0,0,0,0,1,0,1,0,0.0,7684.0,7704.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,6.0,7.0,7.0,1.0,6.0,0,1,1.0,0
9,1.0,0,0,0,21.0,1,9.0,0,0.0,0,0,1,1,3000.0,250000.0,45000.0,35000.0,2163.5,287.0,5417.5,4662.5,2163.5,287.0,5417.5,4662.5,0,2.236067977,0,1.0,0.0,0.0,1,0.0,1.0,1,1.0,6.0,9.0,0,9.0,8.0,8.0,0,2.5,1,1.75,1,1,1,2.75,1,0.0,6.833333333,3.0,5.916666667,0,1,0.0,1.0,3000.0,4000.0,250000.0,3000000.0,7000.0,45000.0,667.0,35000.0,100.0,1.041278589,0.0,1.0,0,1,0,1.0,3.0,4.0,0,0,1,0,1,0,0,0,1,0,1,0,2.236067977,2.236067977,3.0,1.0,5.0,2.0,10.0,25.0,21.0,21.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,24270.0,24292.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,9.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,0,1,2.0,0
